Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
36,0,1,852,5,4,2,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
33,0,2,1141,1,3,3,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
35,0,1,464,4,2,3,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
27,0,1,1240,2,4,4,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
26,1,1,1357,25,3,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
27,0,2,994,8,3,4,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
30,0,2,721,1,2,3,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
41,1,1,1360,12,3,2,49,3,5,3,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
34,0,0,1065,23,4,2,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
37,0,1,408,19,2,2,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
46,0,2,1211,5,4,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
35,0,1,1229,8,1,4,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
48,1,1,626,1,2,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
28,1,1,1434,5,4,3,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
44,0,1,1488,1,5,2,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
35,0,0,1097,11,2,3,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
26,0,1,1443,23,3,3,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
33,0,2,515,1,2,1,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
35,0,2,853,18,5,2,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
35,0,1,1142,23,4,3,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
31,0,1,655,7,4,4,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
37,0,1,1115,1,4,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
32,0,1,427,1,3,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
38,0,2,653,29,5,4,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
50,0,1,989,7,2,2,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
59,0,1,1435,25,3,1,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
36,0,1,1223,8,3,3,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
55,0,1,836,8,3,4,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
36,0,2,1195,11,3,2,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
45,0,1,1339,7,3,2,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
35,0,2,664,1,3,2,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
36,1,1,318,9,3,4,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
59,0,2,1225,1,1,1,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
29,0,1,1328,2,3,3,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
31,0,1,1082,1,4,3,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
32,0,1,548,1,3,2,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
36,0,1,132,6,3,2,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
31,0,1,746,8,4,3,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
35,0,1,776,1,4,3,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
45,0,1,193,6,4,4,52,3,3,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
37,0,1,397,7,4,1,30,3,3,3,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
46,0,1,945,5,2,2,80,3,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
30,0,1,852,1,1,4,55,2,2,4,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
35,0,1,1214,1,3,2,30,2,1,3,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
55,0,1,111,1,2,1,70,3,3,4,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
38,0,0,573,6,3,2,79,1,2,4,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
34,0,1,1153,1,2,1,94,3,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
56,0,1,1400,7,3,4,49,1,3,4,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
23,0,1,541,2,1,3,62,3,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
51,0,1,432,9,4,4,96,3,1,4,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
30,0,1,288,2,3,3,99,2,2,4,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
46,1,1,669,9,2,3,64,2,3,4,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
40,0,2,530,1,4,3,78,2,4,2,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
51,0,1,632,21,4,3,71,3,2,4,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
30,0,1,1334,4,2,3,63,2,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
46,0,2,638,1,3,3,40,2,3,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
32,0,1,1093,6,4,2,87,3,2,3,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
54,0,1,1217,2,4,1,60,3,3,3,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
24,0,1,1353,3,2,1,33,3,2,3,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
28,0,0,120,4,3,2,43,3,2,3,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
58,0,1,682,10,4,4,37,3,4,3,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
44,0,0,489,23,3,2,67,3,2,2,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
37,1,1,807,6,4,3,63,3,1,1,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
32,0,1,827,1,1,4,71,3,1,1,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
20,1,2,871,6,3,4,66,2,1,4,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
34,0,1,665,6,4,1,41,3,2,3,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
37,0,0,1040,2,2,3,100,2,2,4,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
59,0,0,1420,2,4,3,32,2,5,4,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
50,0,2,1115,1,3,1,73,3,5,2,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
25,1,1,240,5,3,3,46,2,2,3,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
25,0,1,1280,7,1,4,64,2,1,4,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
22,0,1,534,15,3,2,59,3,1,4,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
51,0,2,1456,1,4,1,30,2,3,1,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
34,1,2,658,7,3,1,66,1,2,3,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
54,0,0,142,26,3,4,30,4,4,4,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
24,0,1,1127,18,1,2,52,3,1,3,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
34,0,1,1031,6,4,3,45,2,2,2,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
37,0,1,1189,3,3,3,87,3,3,4,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
34,0,1,1354,5,3,3,45,2,3,1,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
36,0,2,1467,11,2,2,92,3,3,4,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False
36,0,1,922,3,2,1,39,3,1,4,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
43,0,2,394,26,2,3,92,3,4,4,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
30,0,2,1312,23,3,1,96,1,1,3,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
33,0,0,750,22,2,3,95,3,2,2,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
56,1,1,441,14,4,2,72,3,1,2,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
51,0,1,684,6,3,1,51,3,5,3,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
31,1,1,249,6,4,2,76,1,2,3,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
26,0,1,841,6,3,3,46,2,1,2,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
58,1,1,147,23,4,4,94,3,3,4,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
19,1,1,528,22,1,4,50,3,1,3,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
22,0,1,594,2,1,3,100,3,1,4,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
49,0,1,470,20,4,3,96,3,2,1,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
